1, 1468100, 2009-06-12, 475749666
2, 804700, 2007-02-24, 905001371
3, 1873900, 2001-06-22, 927907916
4, 1450100, 2001-02-05, 220706059
5, 1185300, 2014-07-30, 459061165
6, 1100700, 2008-09-30, 824558986
7, 1806400, 2010-05-01, 198727617
8, 929500, 2007-03-05, 875945931
9, 1953100, 2005-09-07, 239703256
10, 1917700, 2011-02-26, 686590577
11, 226900, 2012-08-05, 126646129
12, 1695400, 2005-06-27, 468938285
13, 477000, 2003-04-27, 329866293
14, 920000, 2011-08-26, 914566516
15, 859700, 2003-09-09, 248781689
16, 1964200, 2008-09-15, 166664820
17, 290200, 2001-03-30, 991625223
18, 1254100, 2001-03-22, 510812715
19, 266500, 2013-08-23, 849253452
20, 218600, 2002-01-12, 236898290
21, 215000, 2000-09-06, 772773681
22, 1513700, 2007-09-11, 119939148
23, 415800, 2002-07-10, 304040425
24, 983800, 2001-11-11, 607340090
25, 592700, 2011-10-23, 912655899
26, 1079000, 2012-05-03, 439275115
27, 1566100, 2004-09-06, 850385014
28, 1688900, 2003-03-29, 956935428
29, 1543100, 2001-08-27, 978394596
30, 850200, 2008-05-20, 707985770
31, 828600, 2011-11-20, 884138034
32, 1226100, 2008-10-13, 795103332
33, 628200, 2004-06-02, 780183596
34, 1246800, 2007-07-21, 895510696
35, 699100, 2003-05-04, 374229194
36, 594500, 2003-08-22, 720787283
37, 1782300, 2012-05-17, 341825451
38, 1752200, 2008-02-18, 810610600
39, 610300, 2005-05-11, 944155697
40, 536200, 2015-07-24, 243394563
41, 1754600, 2008-10-13, 541194448
42, 1810700, 2007-07-30, 258607041
43, 1145300, 2005-03-28, 973497312
44, 316100, 2014-05-15, 711126620
45, 297500, 2000-03-15, 603312812
46, 639500, 2011-10-27, 583693129
47, 1036800, 2001-02-24, 366165656
48, 1344100, 2011-06-08, 810696581
49, 292300, 2009-10-20, 779839968
50, 937700, 2002-08-06, 407746935
51, 862100, 2014-10-16, 199488683
52, 343600, 2003-07-03, 389374164
53, 1582900, 2012-05-25, 299773203
54, 754700, 2001-07-29, 491251517
55, 1773400, 2008-01-31, 650805062
56, 1895200, 2005-09-28, 637125958
57, 844600, 2015-08-07, 618216231
58, 438800, 2002-01-18, 131152552
59, 1088700, 2013-02-04, 774067152
60, 1305300, 2006-12-10, 857429261
61, 1955000, 2007-08-06, 723118428
62, 1289600, 2003-08-17, 907135812
63, 986700, 2006-05-04, 687844052
64, 457900, 2015-03-12, 629775579
65, 1340300, 2010-05-16, 275847101
66, 1942400, 2004-05-19, 564919500
67, 1752600, 2000-04-16, 955769893
68, 556200, 2001-11-02, 364966374
69, 370600, 2001-01-22, 339801812
70, 912900, 2002-06-27, 657260029
71, 240000, 2006-05-12, 396651878
72, 402300, 2003-05-18, 775238332
73, 1263300, 2001-04-27, 331488449
74, 1356400, 2011-05-02, 468362793
75, 828900, 2000-11-01, 198682748
76, 1712300, 2002-06-30, 581495974
77, 740100, 2006-04-26, 181388392
78, 1588600, 2001-04-25, 699164621
79, 430500, 2003-01-31, 127280844
80, 888800, 2009-12-17, 384862173
81, 892100, 2005-10-14, 997936168
82, 1345600, 2005-11-02, 334733475
83, 1509700, 2000-01-03, 369671519
84, 1135500, 2001-08-26, 428222868
85, 1262000, 2002-11-22, 736610277
86, 574300, 2000-08-05, 131822597
87, 1091800, 2012-11-25, 941797924
88, 1092200, 2011-03-14, 485590966
89, 504500, 2015-01-26, 839003764
90, 1449500, 2010-02-19, 443115597
91, 1692500, 2001-11-02, 886326448
92, 1880900, 2000-05-31, 788251744
93, 407900, 2000-06-13, 676907785
94, 357500, 2003-04-11, 326972905
95, 1420600, 2008-05-16, 162684686
96, 323900, 2000-10-12, 995244447
97, 1233600, 2004-11-22, 450014981
98, 372900, 2009-04-06, 271396231
99, 1697200, 2012-02-26, 529011686
100, 1861200, 2007-11-01, 856312355
101, 1437100, 2004-09-28, 422006007
102, 1736100, 2005-02-15, 987237757
103, 1108800, 2011-12-11, 454069152
104, 1046200, 2009-09-29, 167850295
105, 1249000, 2002-08-11, 497817520
106, 336900, 2004-04-04, 407334181
107, 1634000, 2009-05-29, 310957891
108, 530300, 2010-01-29, 497994602
109, 1087400, 2004-06-30, 862113572
110, 1999500, 2007-05-11, 443673008
111, 1629000, 2009-05-04, 448990082
112, 925000, 2012-09-01, 426546870
113, 317400, 2012-09-05, 918443941
114, 1287800, 2010-11-12, 723910348
115, 1966200, 2002-08-06, 421702897
116, 419400, 2009-05-01, 990545207
117, 677900, 2002-12-14, 840247563
118, 1775200, 2006-07-16, 652621170
119, 1031800, 2003-10-10, 201236735
120, 1333500, 2003-11-21, 765530468
121, 772400, 2006-04-11, 837179591
122, 1270100, 2005-08-01, 262230476
123, 1647600, 2000-11-03, 644122690
124, 453500, 2014-08-05, 586148471
125, 1736100, 2004-03-17, 906836918
126, 1456100, 2015-05-01, 662480336
127, 684400, 2014-02-21, 600887971
128, 553700, 2001-02-26, 782730201
129, 449100, 2001-02-03, 885377919
130, 246100, 2003-06-11, 358836770
131, 934300, 2013-11-07, 445780751
132, 1689800, 2015-03-25, 474755919
133, 246200, 2015-09-18, 573412474
134, 1692500, 2012-05-07, 136018930
135, 439900, 2010-04-29, 376327234
136, 840300, 2015-02-28, 251862081
137, 1860900, 2008-05-05, 402903457
