0, 131
1, 7
2, 131
3, 172
4, 115
5, 185
6, 50
7, 151
8, 112
9, 175
10, 158
11, 183
12, 162
13, 4
14, 107
15, 16
16, 83
17, 50
18, 66
19, 72
20, 139
21, 162
22, 16
23, 37
24, 83
25, 101
26, 34
27, 107
28, 185
29, 136
30, 19
31, 184
32, 110
33, 54
34, 54
35, 49
36, 172
37, 96
38, 95
39, 139
40, 121
41, 42
42, 16
43, 121
44, 170
45, 16
46, 135
47, 83
48, 72
49, 68
50, 172
51, 47
52, 95
53, 54
54, 62
55, 83
56, 15
57, 185
58, 96
59, 169
60, 109
61, 25
62, 68
63, 105
64, 110
65, 107
66, 72
67, 157
68, 139
69, 169
70, 68
71, 110
72, 4
73, 75
74, 136
75, 185
76, 187
77, 121
78, 158
79, 68
80, 83
81, 127
82, 151
83, 17
84, 187
85, 96
86, 62
87, 37
88, 183
89, 90
90, 90
91, 99
92, 186
93, 186
94, 16
95, 110
96, 34
97, 136
98, 166
99, 4
100, 175
101, 101
102, 66
103, 157
104, 185
105, 17
106, 112
107, 99
108, 131
109, 166
110, 51
111, 115
112, 51
113, 68
114, 83
115, 95
116, 9
117, 186
118, 185
119, 15
120, 186
121, 57
122, 157
123, 136
124, 184
125, 84
126, 7
127, 109
128, 110
129, 136
130, 61
131, 136
132, 158
133, 84
134, 99
135, 157
136, 136
137, 121
138, 16
139, 139
140, 12
141, 107
142, 115
143, 187
144, 36
145, 47
146, 185
147, 162
148, 136
149, 162
150, 42
151, 83
152, 127
153, 166
154, 185
155, 99
156, 16
157, 166
158, 4
159, 110
160, 4
161, 162
162, 42
163, 54
164, 57
165, 186
166, 62
167, 109
168, 157
169, 90
170, 115
171, 184
172, 95
173, 66
174, 37
175, 51
176, 170
177, 96
178, 175
179, 4
180, 57
181, 12
182, 61
183, 34
184, 139
185, 49
186, 139
187, 61
188, 83
189, 170
190, 42
191, 96
192, 57
193, 169
194, 25
195, 16
196, 49
197, 172
198, 138
199, 110
200, 178
201, 49
202, 187
203, 95
204, 49
205, 62
206, 187
207, 51
208, 17
209, 4
210, 54
211, 49
212, 84
213, 47
214, 42
215, 61
216, 16
217, 54
218, 36
219, 162
220, 185
221, 49
222, 37
223, 170
224, 95
225, 96
226, 12
227, 109
228, 62
229, 47
230, 76
231, 84
232, 61
233, 138
234, 16
235, 61
236, 131
237, 170
238, 99
239, 19
240, 37
241, 179
242, 72
243, 112
244, 157
245, 57
246, 72
247, 37
248, 99
249, 16
250, 25
251, 75
252, 25
253, 178
254, 17
255, 25
256, 151
257, 96
258, 115
259, 158
260, 109
261, 7
262, 66
263, 162
264, 170
265, 115
266, 185
267, 7
268, 37
269, 170
270, 51
271, 178
272, 184
273, 37
274, 169
275, 101
276, 5
277, 76
278, 158
279, 166
280, 101
281, 36
282, 96
283, 17
284, 50
285, 42
286, 110
287, 127
288, 42
289, 101
290, 183
291, 7
292, 115
293, 170
294, 16
295, 5
296, 110
297, 169
298, 19
299, 135
300, 17
301, 151
302, 36
303, 175
304, 50
305, 110
306, 72
307, 36
308, 42
309, 172
310, 54
311, 166
312, 4
313, 107
314, 131
315, 19
316, 179
317, 34
318, 175
319, 139
320, 170
321, 62
322, 54
323, 42
324, 76
325, 5
326, 158
327, 121
328, 109
329, 184
330, 183
331, 42
332, 162
333, 84
334, 139
335, 162
336, 66
337, 62
338, 12
339, 50
340, 109
341, 170
342, 110
343, 76
344, 36
345, 37
346, 135
347, 57
348, 110
349, 166
350, 83
351, 138
352, 57
353, 5
354, 49
355, 184
356, 61
357, 4
358, 172
359, 175
360, 17
361, 7
362, 112
363, 151
364, 57
365, 95
366, 131
367, 162
368, 110
369, 99
370, 96
371, 183
372, 175
373, 157
374, 9
375, 121
376, 115
377, 62
378, 36
379, 54
380, 17
381, 68
382, 75
383, 127
384, 139
