60001, 1675200, 2017-01-02, 448794479
60002, 1160100, 2022-03-31, 670906353
60003, 819700, 2017-08-23, 643871684
60004, 1460700, 2017-04-14, 688658281
60005, 988300, 2016-03-31, 862293613
60006, 753400, 2016-10-31, 250426498
60007, 1512500, 2020-03-02, 265856661
60008, 611500, 2021-11-26, 601330126
60009, 390600, 2020-05-20, 819381448
60010, 295100, 2023-01-30, 111740206
60011, 1531800, 2020-07-31, 795420141
60012, 209500, 2018-12-14, 497732626
60013, 1296600, 2020-03-07, 480747437
60014, 1508100, 2017-06-06, 831103648
60015, 283700, 2018-01-17, 573967409
60016, 1081000, 2016-09-29, 652228772
60017, 1874800, 2019-01-11, 299183666
60018, 1539200, 2023-08-01, 588012195
60019, 663000, 2019-09-21, 516777160
60020, 285300, 2018-07-07, 828236274
60021, 1159300, 2021-06-23, 637699548
60022, 978000, 2021-07-17, 810414258
60023, 1190800, 2021-05-13, 518902409
60024, 1408800, 2021-02-15, 628686191
60025, 1747200, 2023-05-19, 781781779
60026, 1607100, 2021-01-25, 518281809
60027, 707900, 2018-05-28, 501574166
60028, 783700, 2023-07-13, 981617886
60029, 1262500, 2023-10-29, 635641280
60030, 1125000, 2018-04-25, 131553686
60031, 979700, 2017-07-02, 563804103
60032, 626600, 2016-03-11, 965386039
60033, 365700, 2016-10-06, 524593884
60034, 1300900, 2020-05-14, 915285796
60035, 253000, 2020-02-23, 844172233
60036, 581300, 2016-01-18, 983477819
60037, 1633200, 2019-04-06, 862216773
60038, 1949700, 2016-06-24, 629878026
60039, 375300, 2023-01-13, 201648095
60040, 1495700, 2019-01-19, 637208183
60041, 280300, 2020-12-11, 844362943
60042, 400000, 2018-02-28, 513352884
60043, 1278100, 2019-11-17, 623603117
60044, 839300, 2020-04-09, 374573149
60045, 1422800, 2021-10-07, 473598661
60046, 1412900, 2022-01-20, 725969128
60047, 1795500, 2017-02-05, 611496011
60048, 1004000, 2016-11-21, 368802429
60049, 1107100, 2020-05-02, 760991333
60050, 1890300, 2023-03-20, 401118346
60051, 1082200, 2018-02-28, 407967329
60052, 1796400, 2023-04-20, 497155347
60053, 536400, 2023-06-26, 529626590
60054, 697200, 2021-09-04, 384712986
